Symbol	EntrezID	Family	Species	Protein_have_DBD
POU2F2	5452	Pou	Homo sapiens	POU class 2 homeobox 2 (POU2F2)
POU2F3	25833	Pou	Homo sapiens	POU class 2 homeobox 3 (POU2F3)
POU3F1	5453	Pou	Homo sapiens	POU class 3 homeobox 1 (POU3F1)
POU3F2	5454	Pou	Homo sapiens	POU class 3 homeobox 2 (POU3F2)
POU3F3	5455	Pou	Homo sapiens	POU class 3 homeobox 3 (POU3F3)
POU3F4	5456	Pou	Homo sapiens	POU class 3 homeobox 4 (POU3F4)
POU4F1	5457	Pou	Homo sapiens	POU class 4 homeobox 1 (POU4F1)
POU4F2	5458	Pou	Homo sapiens	POU class 4 homeobox 2 (POU4F2)
POU4F3	5459	Pou	Homo sapiens	POU class 4 homeobox 3 (POU4F3)
POU5F1	5460	Pou	Homo sapiens	POU class 5 homeobox 1 (POU5F1)
POU5F1B	5462	Pou	Homo sapiens	POU class 5 homeobox 1B (POU5F1B)
POU5F2	134187	Pou	Homo sapiens	POU domain class 5, transcription factor 2 (POU5F2)
POU6F1	5463	Pou	Homo sapiens	POU class 6 homeobox 1 (POU6F1)
POU6F2	11281	Pou	Homo sapiens	POU class 6 homeobox 2 (POU6F2)
RFX1	5989	RFX	Homo sapiens	regulatory factor X1 (RFX1)
RFX2	5990	RFX	Homo sapiens	regulatory factor X2 (RFX2)
RFX3	5991	RFX	Homo sapiens	regulatory factor X3 (RFX3)
RFX4	5992	RFX	Homo sapiens	regulatory factor X4 (RFX4)
RFX5	5993	RFX	Homo sapiens	regulatory factor X5 (RFX5)
RFX6	222546	RFX	Homo sapiens	regulatory factor X6 (RFX6)
RFX7	64864	RFX	Homo sapiens	regulatory factor X7 (RFX7)
RFX8	731220	RFX	Homo sapiens	RFX family member 8, lacking RFX DNA binding domain (RFX8)
NFAT5	10725	RHD	Homo sapiens	nuclear factor of activated T-cells 5, tonicity-responsive (NFAT5)
NFATC1	4772	RHD	Homo sapiens	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1 (NFATC1)
NFATC2	4773	RHD	Homo sapiens	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 (NFATC2)
NFATC3	4775	RHD	Homo sapiens	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3 (NFATC3)
NFATC4	4776	RHD	Homo sapiens	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4 (NFATC4)
NFKB1	4790	RHD	Homo sapiens	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (NFKB1)
NFKB2	4791	RHD	Homo sapiens	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (NFKB2)
REL	5966	RHD	Homo sapiens	v-rel avian reticuloendotheliosis viral oncogene homolog (REL)
RELA	5970	RHD	Homo sapiens	v-rel avian reticuloendotheliosis viral oncogene homolog A (RELA)
RELB	5971	RHD	Homo sapiens	v-rel avian reticuloendotheliosis viral oncogene homolog B (RELB)
RUNX1	861	Runt	Homo sapiens	runt related transcription factor 1 (RUNX1)
RUNX2	860	Runt	Homo sapiens	runt related transcription factor 2 (RUNX2)
RUNX3	864	Runt	Homo sapiens	runt related transcription factor 3 (RUNX3)
HNF4A	3172	RXR-like	Homo sapiens	hepatocyte nuclear factor 4 alpha (HNF4A)
HNF4G	3174	RXR-like	Homo sapiens	hepatocyte nuclear factor 4 gamma (HNF4G)
NR2C1	7181	RXR-like	Homo sapiens	nuclear receptor subfamily 2 group C member 1 (NR2C1)
NR2C2	7182	RXR-like	Homo sapiens	nuclear receptor subfamily 2 group C member 2 (NR2C2)
NR2E1	7101	RXR-like	Homo sapiens	nuclear receptor subfamily 2 group E member 1 (NR2E1)
NR2F1	7025	RXR-like	Homo sapiens	nuclear receptor subfamily 2 group F member 1 (NR2F1)
NR2F2	7026	RXR-like	Homo sapiens	nuclear receptor subfamily 2 group F member 2 (NR2F2)
NR2F6	2063	RXR-like	Homo sapiens	nuclear receptor subfamily 2 group F member 6 (NR2F6)
RXRA	6256	RXR-like	Homo sapiens	retinoid X receptor alpha (RXRA)
RXRB	6257	RXR-like	Homo sapiens	retinoid X receptor beta (RXRB)
RXRG	6258	RXR-like	Homo sapiens	retinoid X receptor gamma (RXRG)
AIRE	326	SAND	Homo sapiens	autoimmune regulator (AIRE)
DEAF1	10522	SAND	Homo sapiens	DEAF1, transcription factor (DEAF1)
GMEB1	10691	SAND	Homo sapiens	glucocorticoid modulatory element binding protein 1 (GMEB1)
GMEB2	26205	SAND	Homo sapiens	glucocorticoid modulatory element binding protein 2 (GMEB2)
SP100	6672	SAND	Homo sapiens	SP100 nuclear antigen (SP100)
SP110	3431	SAND	Homo sapiens	SP110 nuclear body protein (SP110)
SP140	11262	SAND	Homo sapiens	SP140 nuclear body protein (SP140)
SP140L	93349	SAND	Homo sapiens	SP140 nuclear body protein like (SP140L)
NR5A1	2516	SF-like	Homo sapiens	nuclear receptor subfamily 5 group A member 1 (NR5A1)
NR5A2	2494	SF-like	Homo sapiens	nuclear receptor subfamily 5 group A member 2 (NR5A2)
MEF2A	4205	SRF	Homo sapiens	myocyte enhancer factor 2A (MEF2A)
MEF2B	100271849	SRF	Homo sapiens	myocyte enhancer factor 2B (MEF2B)
MEF2BNB-MEF2B	4207	SRF	Homo sapiens	MEF2BNB-MEF2B readthrough (MEF2BNB-MEF2B)
MEF2C	4208	SRF	Homo sapiens	myocyte enhancer factor 2C (MEF2C)
MEF2D	4209	SRF	Homo sapiens	myocyte enhancer factor 2D (MEF2D)
SRF	6722	SRF	Homo sapiens	serum response factor (SRF)
STAT1	6772	STAT	Homo sapiens	signal transducer and activator of transcription 1 (STAT1)
STAT2	6773	STAT	Homo sapiens	signal transducer and activator of transcription 2 (STAT2)
STAT3	6774	STAT	Homo sapiens	signal transducer and activator of transcription 3 (acute-phase response factor) (STAT3)
STAT4	6775	STAT	Homo sapiens	signal transducer and activator of transcription 4 (STAT4)
STAT5A	6776	STAT	Homo sapiens	signal transducer and activator of transcription 5A (STAT5A)
STAT5B	6777	STAT	Homo sapiens	signal transducer and activator of transcription 5B (STAT5B)
STAT6	6778	STAT	Homo sapiens	signal transducer and activator of transcription 6, interleukin-4 induced (STAT6)
EOMES	8320	T-box	Homo sapiens	eomesodermin (EOMES)
MGA	23269	T-box	Homo sapiens	MGA, MAX dimerization protein (MGA)
T	6862	T-box	Homo sapiens	T brachyury transcription factor (T)
TBR1	10716	T-box	Homo sapiens	T-box, brain 1 (TBR1)
TBX1	6899	T-box	Homo sapiens	T-box 1 (TBX1)
TBX10	347853	T-box	Homo sapiens	T-box 10 (TBX10)
TBX15	6913	T-box	Homo sapiens	T-box 15 (TBX15)
TBX18	9096	T-box	Homo sapiens	T-box 18 (TBX18)
TBX19	9095	T-box	Homo sapiens	T-box 19 (TBX19)
TBX2	6909	T-box	Homo sapiens	T-box 2 (TBX2)
TBX20	57057	T-box	Homo sapiens	T-box 20 (TBX20)
TBX21	30009	T-box	Homo sapiens	T-box 21 (TBX21)
TBX22	50945	T-box	Homo sapiens	T-box 22 (TBX22)
TBX3	6926	T-box	Homo sapiens	T-box 3 (TBX3)
TBX4	9496	T-box	Homo sapiens	T-box 4 (TBX4)
TBX5	6910	T-box	Homo sapiens	T-box 5 (TBX5)
TBX6	6911	T-box	Homo sapiens	T-box 6 (TBX6)
TEAD1	7003	TEA	Homo sapiens	TEA domain transcription factor 1 (TEAD1)
TEAD2	8463	TEA	Homo sapiens	TEA domain transcription factor 2 (TEAD2)
TEAD3	7005	TEA	Homo sapiens	TEA domain transcription factor 3 (TEAD3)
TEAD4	7004	TEA	Homo sapiens	TEA domain transcription factor 4 (TEAD4)
ATF1	466	TF_bZIP	Homo sapiens	activating transcription factor 1 (ATF1)
ATF2	1386	TF_bZIP	Homo sapiens	activating transcription factor 2 (ATF2)
ATF3	467	TF_bZIP	Homo sapiens	activating transcription factor 3 (ATF3)
ATF4	468	TF_bZIP	Homo sapiens	activating transcription factor 4 (ATF4)
ATF5	22809	TF_bZIP	Homo sapiens	activating transcription factor 5 (ATF5)
ATF6	22926	TF_bZIP	Homo sapiens	activating transcription factor 6 (ATF6)
ATF6B	1388	TF_bZIP	Homo sapiens	activating transcription factor 6 beta (ATF6B)
ATF7	11016	TF_bZIP	Homo sapiens	activating transcription factor 7 (ATF7)
BACH1	571	TF_bZIP	Homo sapiens	BTB and CNC homology 1, basic leucine zipper transcription factor 1 (BACH1)
BACH2	60468	TF_bZIP	Homo sapiens	BTB domain and CNC homolog 2 (BACH2)
BATF	10538	TF_bZIP	Homo sapiens	basic leucine zipper ATF-like transcription factor (BATF)
BATF2	116071	TF_bZIP	Homo sapiens	basic leucine zipper ATF-like transcription factor 2 (BATF2)
BATF3	55509	TF_bZIP	Homo sapiens	basic leucine zipper ATF-like transcription factor 3 (BATF3)
CREB1	1385	TF_bZIP	Homo sapiens	cAMP responsive element binding protein 1 (CREB1)
CREB3	10488	TF_bZIP	Homo sapiens	cAMP responsive element binding protein 3 (CREB3)
CREB3L1	90993	TF_bZIP	Homo sapiens	cAMP responsive element binding protein 3-like 1 (CREB3L1)
CREB3L2	64764	TF_bZIP	Homo sapiens	cAMP responsive element binding protein 3-like 2 (CREB3L2)
CREB3L3	84699	TF_bZIP	Homo sapiens	cAMP responsive element binding protein 3-like 3 (CREB3L3)
CREB3L4	148327	TF_bZIP	Homo sapiens	cAMP responsive element binding protein 3-like 4 (CREB3L4)
CREB5	9586	TF_bZIP	Homo sapiens	cAMP responsive element binding protein 5 (CREB5)
CREBZF	58487	TF_bZIP	Homo sapiens	CREB/ATF bZIP transcription factor (CREBZF)
CREM	1390	TF_bZIP	Homo sapiens	cAMP responsive element modulator (CREM)
DBP	1628	TF_bZIP	Homo sapiens	D site of albumin promoter (albumin D-box) binding protein (DBP)
DDIT3	1649	TF_bZIP	Homo sapiens	DNA damage inducible transcript 3 (DDIT3)
FOS	2353	TF_bZIP	Homo sapiens	FBJ murine osteosarcoma viral oncogene homolog (FOS)
FOSB	2354	TF_bZIP	Homo sapiens	FBJ murine osteosarcoma viral oncogene homolog B (FOSB)
FOSL1	8061	TF_bZIP	Homo sapiens	FOS like antigen 1 (FOSL1)
FOSL2	2355	TF_bZIP	Homo sapiens	FOS like antigen 2 (FOSL2)
HLF	3131	TF_bZIP	Homo sapiens	hepatic leukemia factor (HLF)
JDP2	122953	TF_bZIP	Homo sapiens	Jun dimerization protein 2 (JDP2)
JUN	3725	TF_bZIP	Homo sapiens	jun proto-oncogene (JUN)
JUNB	3726	TF_bZIP	Homo sapiens	jun B proto-oncogene (JUNB)
JUND	3727	TF_bZIP	Homo sapiens	jun D proto-oncogene (JUND)
MAF	4094	TF_bZIP	Homo sapiens	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog (MAF)
MAFA	389692	TF_bZIP	Homo sapiens	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog A (MAFA)
MAFB	9935	TF_bZIP	Homo sapiens	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B (MAFB)
MAFF	23764	TF_bZIP	Homo sapiens	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F (MAFF)
MAFG	4097	TF_bZIP	Homo sapiens	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog G (MAFG)
MAFK	7975	TF_bZIP	Homo sapiens	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K (MAFK)
NFE2	4778	TF_bZIP	Homo sapiens	nuclear factor, erythroid 2 (NFE2)
NFE2L1	4779	TF_bZIP	Homo sapiens	nuclear factor, erythroid 2 like 1 (NFE2L1)
NFE2L2	4780	TF_bZIP	Homo sapiens	nuclear factor, erythroid 2 like 2 (NFE2L2)
NFE2L3	9603	TF_bZIP	Homo sapiens	nuclear factor, erythroid 2 like 3 (NFE2L3)
NFIL3	4783	TF_bZIP	Homo sapiens	nuclear factor, interleukin 3 regulated (NFIL3)
NRL	4901	TF_bZIP	Homo sapiens	neural retina leucine zipper (NRL)
TEF	7008	TF_bZIP	Homo sapiens	thyrotrophic embryonic factor (TEF)
XBP1	7494	TF_bZIP	Homo sapiens	X-box binding protein 1 (XBP1)
CRX	1406	TF_Otx	Homo sapiens	cone-rod homeobox (CRX)
OTX1	5013	TF_Otx	Homo sapiens	orthodenticle homeobox 1 (OTX1)
OTX2	5015	TF_Otx	Homo sapiens	orthodenticle homeobox 2 (OTX2)
THAP1	55145	THAP	Homo sapiens	THAP domain containing, apoptosis associated protein 1 (THAP1)
THAP10	56906	THAP	Homo sapiens	THAP domain containing 10 (THAP10)
THAP11	57215	THAP	Homo sapiens	THAP domain containing 11 (THAP11)
THAP12	5612	THAP	Homo sapiens	THAP domain containing 12 (THAP12)
THAP2	83591	THAP	Homo sapiens	THAP domain containing, apoptosis associated protein 2 (THAP2)
THAP3	90326	THAP	Homo sapiens	THAP domain containing, apoptosis associated protein 3 (THAP3)
THAP4	51078	THAP	Homo sapiens	THAP domain containing 4 (THAP4)
THAP5	168451	THAP	Homo sapiens	THAP domain containing 5 (THAP5)
THAP6	152815	THAP	Homo sapiens	THAP domain containing 6 (THAP6)
THAP7	80764	THAP	Homo sapiens	THAP domain containing 7 (THAP7)
THAP8	199745	THAP	Homo sapiens	THAP domain containing 8 (THAP8)
THAP9	79725	THAP	Homo sapiens	THAP domain containing 9 (THAP9)
NR1D1	9572	THR-like	Homo sapiens	nuclear receptor subfamily 1 group D member 1 (NR1D1)
NR1D2	9975	THR-like	Homo sapiens	nuclear receptor subfamily 1 group D member 2 (NR1D2)
NR1H2	7376	THR-like	Homo sapiens	nuclear receptor subfamily 1 group H member 2 (NR1H2)
NR1H3	10062	THR-like	Homo sapiens	nuclear receptor subfamily 1 group H member 3 (NR1H3)
NR1H4	9971	THR-like	Homo sapiens	nuclear receptor subfamily 1 group H member 4 (NR1H4)
NR1I2	8856	THR-like	Homo sapiens	nuclear receptor subfamily 1 group I member 2 (NR1I2)
NR1I3	9970	THR-like	Homo sapiens	nuclear receptor subfamily 1 group I member 3 (NR1I3)
PPARA	5465	THR-like	Homo sapiens	peroxisome proliferator activated receptor alpha (PPARA)
PPARD	5467	THR-like	Homo sapiens	peroxisome proliferator activated receptor delta (PPARD)
PPARG	5468	THR-like	Homo sapiens	peroxisome proliferator activated receptor gamma (PPARG)
RARA	5914	THR-like	Homo sapiens	retinoic acid receptor alpha (RARA)
RARB	5915	THR-like	Homo sapiens	retinoic acid receptor beta (RARB)
RARG	5916	THR-like	Homo sapiens	retinoic acid receptor gamma (RARG)
RORA	6095	THR-like	Homo sapiens	RAR related orphan receptor A (RORA)
RORB	6096	THR-like	Homo sapiens	RAR related orphan receptor B (RORB)
RORC	6097	THR-like	Homo sapiens	RAR related orphan receptor C (RORC)
THRA	7067	THR-like	Homo sapiens	thyroid hormone receptor, alpha (THRA)
THRB	7068	THR-like	Homo sapiens	thyroid hormone receptor, beta (THRB)
VDR	7421	THR-like	Homo sapiens	vitamin D (1,25- dihydroxyvitamin D3) receptor (VDR)
TSC22D1	8848	TSC22	Homo sapiens	TSC22 domain family member 1 (TSC22D1)
TSC22D2	9819	TSC22	Homo sapiens	TSC22 domain family member 2 (TSC22D2)
TSC22D3	1831	TSC22	Homo sapiens	TSC22 domain family member 3 (TSC22D3)
TSC22D4	81628	TSC22	Homo sapiens	TSC22 domain family member 4 (TSC22D4)
TUB	7275	Tub	Homo sapiens	tubby bipartite transcription factor (TUB)
TULP1	7287	Tub	Homo sapiens	tubby like protein 1 (TULP1)
TULP2	7288	Tub	Homo sapiens	tubby like protein 2 (TULP2)
TULP3	7289	Tub	Homo sapiens	tubby like protein 3 (TULP3)
TULP4	56995	Tub	Homo sapiens	tubby like protein 4 (TULP4)
BCL6	604	ZBTB	Homo sapiens	B-cell CLL/lymphoma 6 (BCL6)
BCL6B	255877	ZBTB	Homo sapiens	B-cell CLL/lymphoma 6, member B (BCL6B)
GZF1	64412	ZBTB	Homo sapiens	GDNF inducible zinc finger protein 1 (GZF1)
HIC1	3090	ZBTB	Homo sapiens	hypermethylated in cancer 1 (HIC1)
HIC2	23119	ZBTB	Homo sapiens	hypermethylated in cancer 2 (HIC2)
MYNN	55892	ZBTB	Homo sapiens	myoneurin (MYNN)
PATZ1	23598	ZBTB	Homo sapiens	POZ/BTB and AT hook containing zinc finger 1 (PATZ1)
ZBTB1	22890	ZBTB	Homo sapiens	zinc finger and BTB domain containing 1 (ZBTB1)
ZBTB11	27107	ZBTB	Homo sapiens	zinc finger and BTB domain containing 11 (ZBTB11)
ZBTB12	221527	ZBTB	Homo sapiens	zinc finger and BTB domain containing 12 (ZBTB12)
ZBTB14	7541	ZBTB	Homo sapiens	zinc finger and BTB domain containing 14 (ZBTB14)
ZBTB16	7704	ZBTB	Homo sapiens	zinc finger and BTB domain containing 16 (ZBTB16)
ZBTB17	7709	ZBTB	Homo sapiens	zinc finger and BTB domain containing 17 (ZBTB17)
ZBTB18	10472	ZBTB	Homo sapiens	zinc finger and BTB domain containing 18 (ZBTB18)
ZBTB2	57621	ZBTB	Homo sapiens	zinc finger and BTB domain containing 2 (ZBTB2)
ZBTB20	26137	ZBTB	Homo sapiens	zinc finger and BTB domain containing 20 (ZBTB20)
ZBTB21	49854	ZBTB	Homo sapiens	zinc finger and BTB domain containing 21 (ZBTB21)
ZBTB24	9841	ZBTB	Homo sapiens	zinc finger and BTB domain containing 24 (ZBTB24)
ZBTB25	7597	ZBTB	Homo sapiens	zinc finger and BTB domain containing 25 (ZBTB25)
ZBTB26	57684	ZBTB	Homo sapiens	zinc finger and BTB domain containing 26 (ZBTB26)
ZBTB3	79842	ZBTB	Homo sapiens	zinc finger and BTB domain containing 3 (ZBTB3)
ZBTB32	27033	ZBTB	Homo sapiens	zinc finger and BTB domain containing 32 (ZBTB32)
ZBTB34	403341	ZBTB	Homo sapiens	zinc finger and BTB domain containing 34 (ZBTB34)
ZBTB37	84614	ZBTB	Homo sapiens	zinc finger and BTB domain containing 37 (ZBTB37)
ZBTB38	253461	ZBTB	Homo sapiens	zinc finger and BTB domain containing 38 (ZBTB38)
ZBTB39	9880	ZBTB	Homo sapiens	zinc finger and BTB domain containing 39 (ZBTB39)
ZBTB4	57659	ZBTB	Homo sapiens	zinc finger and BTB domain containing 4 (ZBTB4)
ZBTB40	9923	ZBTB	Homo sapiens	zinc finger and BTB domain containing 40 (ZBTB40)
ZBTB41	360023	ZBTB	Homo sapiens	zinc finger and BTB domain containing 41 (ZBTB41)
ZBTB42	100128927	ZBTB	Homo sapiens	zinc finger and BTB domain containing 42 (ZBTB42)
ZBTB43	23099	ZBTB	Homo sapiens	zinc finger and BTB domain containing 43 (ZBTB43)
ZBTB44	29068	ZBTB	Homo sapiens	zinc finger and BTB domain containing 44 (ZBTB44)
ZBTB45	84878	ZBTB	Homo sapiens	zinc finger and BTB domain containing 45 (ZBTB45)
ZBTB47	92999	ZBTB	Homo sapiens	zinc finger and BTB domain containing 47 (ZBTB47)
ZBTB48	3104	ZBTB	Homo sapiens	zinc finger and BTB domain containing 48 (ZBTB48)
ZBTB49	166793	ZBTB	Homo sapiens	zinc finger and BTB domain containing 49 (ZBTB49)
ZBTB6	10773	ZBTB	Homo sapiens	zinc finger and BTB domain containing 6 (ZBTB6)
ZBTB7A	51341	ZBTB	Homo sapiens	zinc finger and BTB domain containing 7A (ZBTB7A)
ZBTB7B	51043	ZBTB	Homo sapiens	zinc finger and BTB domain containing 7B (ZBTB7B)
ZBTB7C	201501	ZBTB	Homo sapiens	zinc finger and BTB domain containing 7C (ZBTB7C)
ZBTB8A	653121	ZBTB	Homo sapiens	zinc finger and BTB domain containing 8A (ZBTB8A)
ZBTB8B	728116	ZBTB	Homo sapiens	zinc finger and BTB domain containing 8B (ZBTB8B)
ZNF131	7690	ZBTB	Homo sapiens	zinc finger protein 131 (ZNF131)
ZBED1	9189	zf-BED	Homo sapiens	zinc finger BED-type containing 1 (ZBED1)
ZBED2	79413	zf-BED	Homo sapiens	zinc finger BED-type containing 2 (ZBED2)
ZBED3	84327	zf-BED	Homo sapiens	zinc finger BED-type containing 3 (ZBED3)
ZBED4	9889	zf-BED	Homo sapiens	zinc finger BED-type containing 4 (ZBED4)
ZBED6	100381270	zf-BED	Homo sapiens	zinc finger BED-type containing 6 (ZBED6)
AEBP2	121536	zf-C2H2	Homo sapiens	AE binding protein 2 (AEBP2)
BCL11A	53335	zf-C2H2	Homo sapiens	B-cell CLL/lymphoma 11A (BCL11A)
BCL11B	64919	zf-C2H2	Homo sapiens	B-cell CLL/lymphoma 11B (BCL11B)
BNC2	54796	zf-C2H2	Homo sapiens	basonuclin 2 (BNC2)
CTCF	10664	zf-C2H2	Homo sapiens	CCCTC-binding factor (zinc finger protein) (CTCF)
CTCFL	140690	zf-C2H2	Homo sapiens	CCCTC-binding factor like (CTCFL)
E4F1	1877	zf-C2H2	Homo sapiens	E4F transcription factor 1 (E4F1)
EGR1	1958	zf-C2H2	Homo sapiens	early growth response 1 (EGR1)
EGR2	1959	zf-C2H2	Homo sapiens	early growth response 2 (EGR2)
EGR3	1960	zf-C2H2	Homo sapiens	early growth response 3 (EGR3)
EGR4	1961	zf-C2H2	Homo sapiens	early growth response 4 (EGR4)
FEZF1	389549	zf-C2H2	Homo sapiens	FEZ family zinc finger 1 (FEZF1)
FEZF2	55079	zf-C2H2	Homo sapiens	FEZ family zinc finger 2 (FEZF2)
FIZ1	84922	zf-C2H2	Homo sapiens	FLT3 interacting zinc finger 1 (FIZ1)
GFI1	2672	zf-C2H2	Homo sapiens	growth factor independent 1 transcription repressor (GFI1)
GFI1B	8328	zf-C2H2	Homo sapiens	growth factor independent 1B transcription repressor (GFI1B)
GLI1	2735	zf-C2H2	Homo sapiens	GLI family zinc finger 1 (GLI1)
GLI2	2736	zf-C2H2	Homo sapiens	GLI family zinc finger 2 (GLI2)
GLI3	2737	zf-C2H2	Homo sapiens	GLI family zinc finger 3 (GLI3)
GLI4	2738	zf-C2H2	Homo sapiens	GLI family zinc finger 4 (GLI4)
GLIS1	148979	zf-C2H2	Homo sapiens	GLIS family zinc finger 1 (GLIS1)
GLIS2	84662	zf-C2H2	Homo sapiens	GLIS family zinc finger 2 (GLIS2)
GLIS3	169792	zf-C2H2	Homo sapiens	GLIS family zinc finger 3 (GLIS3)
GTF3A	2971	zf-C2H2	Homo sapiens	general transcription factor IIIA (GTF3A)
HINFP	25988	zf-C2H2	Homo sapiens	histone H4 transcription factor (HINFP)
HIVEP1	3096	zf-C2H2	Homo sapiens	human immunodeficiency virus type I enhancer binding protein 1 (HIVEP1)
HIVEP2	3097	zf-C2H2	Homo sapiens	human immunodeficiency virus type I enhancer binding protein 2 (HIVEP2)
HIVEP3	59269	zf-C2H2	Homo sapiens	human immunodeficiency virus type I enhancer binding protein 3 (HIVEP3)
HKR1	284459	zf-C2H2	Homo sapiens	HKR1, GLI-Kruppel zinc finger family member (HKR1)
IKZF1	10320	zf-C2H2	Homo sapiens	IKAROS family zinc finger 1 (IKZF1)
IKZF2	22807	zf-C2H2	Homo sapiens	IKAROS family zinc finger 2 (IKZF2)
IKZF3	22806	zf-C2H2	Homo sapiens	IKAROS family zinc finger 3 (IKZF3)
IKZF4	64375	zf-C2H2	Homo sapiens	IKAROS family zinc finger 4 (IKZF4)
INSM1	3642	zf-C2H2	Homo sapiens	insulinoma associated 1 (INSM1)
INSM2	84684	zf-C2H2	Homo sapiens	insulinoma-associated 2 (INSM2)
KLF1	10661	zf-C2H2	Homo sapiens	Kruppel-like factor 1 (erythroid) (KLF1)
KLF10	7071	zf-C2H2	Homo sapiens	Kruppel-like factor 10 (KLF10)
KLF11	8462	zf-C2H2	Homo sapiens	Kruppel-like factor 11 (KLF11)
KLF12	11278	zf-C2H2	Homo sapiens	Kruppel-like factor 12 (KLF12)
KLF13	51621	zf-C2H2	Homo sapiens	Kruppel-like factor 13 (KLF13)
KLF14	136259	zf-C2H2	Homo sapiens	Kruppel-like factor 14 (KLF14)
KLF15	28999	zf-C2H2	Homo sapiens	Kruppel-like factor 15 (KLF15)
KLF16	83855	zf-C2H2	Homo sapiens	Kruppel-like factor 16 (KLF16)
KLF17	128209	zf-C2H2	Homo sapiens	Kruppel-like factor 17 (KLF17)
KLF2	10365	zf-C2H2	Homo sapiens	Kruppel-like factor 2 (KLF2)
KLF3	51274	zf-C2H2	Homo sapiens	Kruppel-like factor 3 (basic) (KLF3)
KLF4	9314	zf-C2H2	Homo sapiens	Kruppel-like factor 4 (gut) (KLF4)
KLF5	688	zf-C2H2	Homo sapiens	Kruppel-like factor 5 (intestinal) (KLF5)
KLF6	1316	zf-C2H2	Homo sapiens	Kruppel-like factor 6 (KLF6)
KLF7	8609	zf-C2H2	Homo sapiens	Kruppel-like factor 7 (ubiquitous) (KLF7)
KLF8	11279	zf-C2H2	Homo sapiens	Kruppel-like factor 8 (KLF8)
KLF9	687	zf-C2H2	Homo sapiens	Kruppel-like factor 9 (KLF9)
MAZ	4150	zf-C2H2	Homo sapiens	MYC associated zinc finger protein (MAZ)
MECOM	2122	zf-C2H2	Homo sapiens	MDS1 and EVI1 complex locus (MECOM)
MTF1	4520	zf-C2H2	Homo sapiens	metal-regulatory transcription factor 1 (MTF1)
MZF1	7593	zf-C2H2	Homo sapiens	myeloid zinc finger 1 (MZF1)
OSR1	130497	zf-C2H2	Homo sapiens	odd-skipped related transciption factor 1 (OSR1)
OSR2	116039	zf-C2H2	Homo sapiens	odd-skipped related transciption factor 2 (OSR2)
OVOL1	5017	zf-C2H2	Homo sapiens	ovo like zinc finger 1 (OVOL1)
OVOL2	58495	zf-C2H2	Homo sapiens	ovo like zinc finger 2 (OVOL2)
OVOL3	728361	zf-C2H2	Homo sapiens	ovo like zinc finger 3 (OVOL3)
PEG3	5178	zf-C2H2	Homo sapiens	paternally expressed 3 (PEG3)
PLAG1	5324	zf-C2H2	Homo sapiens	PLAG1 zinc finger (PLAG1)
PLAGL1	5325	zf-C2H2	Homo sapiens	PLAG1 like zinc finger 1 (PLAGL1)
PLAGL2	5326	zf-C2H2	Homo sapiens	PLAG1 like zinc finger 2 (PLAGL2)
PRDM1	639	zf-C2H2	Homo sapiens	PR domain 1 (PRDM1)
PRDM10	56980	zf-C2H2	Homo sapiens	PR domain 10 (PRDM10)
PRDM12	59335	zf-C2H2	Homo sapiens	PR domain 12 (PRDM12)
PRDM13	59336	zf-C2H2	Homo sapiens	PR domain 13 (PRDM13)
PRDM14	63978	zf-C2H2	Homo sapiens	PR domain 14 (PRDM14)
PRDM15	63977	zf-C2H2	Homo sapiens	PR domain 15 (PRDM15)
PRDM16	63976	zf-C2H2	Homo sapiens	PR domain 16 (PRDM16)
PRDM2	7799	zf-C2H2	Homo sapiens	PR domain 2 (PRDM2)
PRDM4	11108	zf-C2H2	Homo sapiens	PR domain 4 (PRDM4)
PRDM5	11107	zf-C2H2	Homo sapiens	PR domain 5 (PRDM5)
PRDM6	93166	zf-C2H2	Homo sapiens	PR domain 6 (PRDM6)
PRDM8	56978	zf-C2H2	Homo sapiens	PR domain 8 (PRDM8)
PRDM9	56979	zf-C2H2	Homo sapiens	PR domain 9 (PRDM9)
RBAK	57786	zf-C2H2	Homo sapiens	RB associated KRAB zinc finger (RBAK)
REPIN1	29803	zf-C2H2	Homo sapiens	replication initiator 1 (REPIN1)
REST	5978	zf-C2H2	Homo sapiens	RE1 silencing transcription factor (REST)
RLF	6018	zf-C2H2	Homo sapiens	rearranged L-myc fusion (RLF)
RREB1	6239	zf-C2H2	Homo sapiens	ras responsive element binding protein 1 (RREB1)
SALL1	6299	zf-C2H2	Homo sapiens	spalt-like transcription factor 1 (SALL1)
SALL2	6297	zf-C2H2	Homo sapiens	spalt-like transcription factor 2 (SALL2)
